elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW1,56430,32M 0110y,496780.7,150269.4,-0.614868,51.243397,SU9678050269,0
GTW1,56540,32M 0220y,496681.4,150285.6,-0.616285,51.24356,SU9668150285,0
GTW1,56650,32M 0330y,496582.2,150301.9,-0.617703,51.243723,SU9658250301,0
GTW1,56760,32M 0440y,496482.9,150318.2,-0.61912,51.243886,SU9648250318,0
GTW1,56870,32M 0550y,496383.8,150334.8,-0.620535,51.244052,SU9638350334,0
GTW1,56980,32M 0660y,496284.7,150351.4,-0.621949,51.244218,SU9628450351,0
GTW1,57090,32M 0770y,496185.6,150367.9,-0.623364,51.244384,SU9618550367,0
GTW1,57200,32M 0880y,496086.6,150384.5,-0.624779,51.244549,SU9608650384,0
GTW1,57310,32M 0990y,495987.4,150401.1,-0.626194,51.244715,SU9598750401,0
GTW1,57420,32M 1100y,495888.2,150417.2,-0.627611,51.244877,SU9588850417,0
GTW1,57530,32M 1210y,495789.0,150433.5,-0.629028,51.245039,SU9578850433,0
GTW1,57640,32M 1320y,495689.7,150449.7,-0.630445,51.245202,SU9568950449,4
GTW1,57750,32M 1430y,495589.1,150464.8,-0.631882,51.245355,SU9558950464,4
GTW1,57860,32M 1540y,495488.4,150479.6,-0.633321,51.245504,SU9548850479,4
GTW1,57970,32M 1650y,495387.6,150494.3,-0.63476,51.245654,SU9538750494,4
GTW1,58080,33M 0000y,495286.6,150506.3,-0.636204,51.245779,SU9528650506,4
GTW1,58190,33M 0110y,495185.7,150511.2,-0.637647,51.24584,SU9518550511,1
GTW1,58300,33M 0220y,495084.8,150510.6,-0.639093,51.245851,SU9508450510,1
GTW1,58410,33M 0330y,494983.9,150504.6,-0.640539,51.245814,SU9498350504,1
GTW1,58520,33M 0440y,494883.3,150495.9,-0.641982,51.245752,SU9488350495,1
GTW1,58630,33M 0550y,494782.8,150487.1,-0.643425,51.245689,SU9478250487,1
GTW1,58740,33M 0660y,494682.3,150478.2,-0.644867,51.245626,SU9468250478,1
GTW1,58850,33M 0770y,494581.7,150469.3,-0.646309,51.245563,SU9458150469,1
GTW1,58960,33M 0880y,494481.2,150460.4,-0.647752,51.2455,SU9448150460,0
GTW1,59070,33M 0990y,494380.9,150451.6,-0.649191,51.245437,SU9438050451,0
GTW1,59180,33M 1100y,494280.5,150442.7,-0.65063,51.245374,SU9428050442,0
GTW1,59290,33M 1210y,494180.2,150433.9,-0.652069,51.245311,SU9418050433,0
GTW1,59400,33M 1320y,494079.9,150425.0,-0.653508,51.245247,SU9407950424,0
GTW1,59510,33M 1430y,493979.8,150415.9,-0.654945,51.245182,SU9397950415,0
GTW1,59620,33M 1540y,493879.7,150406.8,-0.656381,51.245117,SU9387950406,0
GTW1,59730,33M 1650y,493779.5,150397.8,-0.657818,51.245052,SU9377950397,0
